subj,exp_id,ses_id,marker,object,mag,amp,dur,timestamp
006,1,1,layout7,sacc,5.337504,153.409598,0.065778,2.842232
006,1,1,layout7,sacc,5.907916,175.747256,0.066068,3.400663
006,1,1,layout7,sacc,19.027513,470.672187,0.115691,4.517689
006,1,1,layout6,sacc,21.880787,532.352335,0.065647,1.791280
006,1,1,layout6,sacc,18.087170,543.548801,0.115048,2.284121
006,1,1,layout6,sacc,26.928892,560.934682,0.065994,2.579446
006,1,1,layout6,sacc,26.132288,586.604888,0.065734,2.875495
010,1,1,layout1,sacc,22.606063,455.078526,0.065521,0.279495
010,1,1,layout1,sacc,22.025687,364.303914,0.065768,0.640926
010,1,1,layout1,sacc,22.066611,388.058866,0.065601,1.330885
010,1,1,layout1,sacc,26.095625,454.186108,0.065339,1.626718
010,1,1,layout0,sacc,22.815901,456.234075,0.065629,0.476589
010,1,1,layout0,sacc,20.394911,463.419071,0.082124,0.706584
010,1,1,layout0,sacc,24.053273,580.712011,0.065719,1.511512
010,1,1,layout0,sacc,18.227092,436.617387,0.065783,1.708629
010,1,1,layout0,sacc,22.463376,521.492697,0.065715,2.497143
010,1,1,layout0,sacc,22.250500,595.419421,0.082299,3.334975
017,1,1,layout9,sacc,20.186941,449.399021,0.082391,0.706315
017,1,1,layout9,sacc,26.893858,650.932559,0.082009,1.100936
014,1,1,layout6,sacc,25.342717,519.969227,0.065742,0.197293
014,1,1,layout6,sacc,24.076995,609.368061,0.098433,0.640924
014,1,1,layout6,sacc,23.954981,573.672227,0.065737,1.067955
005,1,1,layout8,sacc,21.373862,384.365904,0.065597,0.049309
005,1,1,layout8,sacc,24.512006,517.705455,0.065659,0.492838
005,1,1,layout8,sacc,20.077726,507.349857,0.098467,0.952878
005,1,1,layout8,sacc,22.641816,541.536859,0.098547,1.297766
005,1,1,layout8,sacc,19.997534,418.904015,0.065762,1.642746
